time,reference_point,iteration,ssid,bssid,channel,xr,yr,rssi_ap_digilab,rssi_ap_dosen,relative_position,time_numeric,xp,yp
2024-10-17 08:38:31.952562400+00:00,1,3,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:38:31.952562,300,1368
2024-10-17 08:39:38.608620600+00:00,1,1,DTE Staff,3,11,300,1368,-63.0,-200.0,0,08:39:38.608620,300,1367
2024-10-17 08:39:45.832622300+00:00,1,1,DTE Student,4,11,300,1368,-63.0,-200.0,0,08:39:45.832622,300,1367
2024-10-17 08:40:03.157448400+00:00,1,2,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:40:03.157448,300,1368
2024-10-17 08:40:27.631585400+00:00,1,3,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:40:27.631585,300,1368
2024-10-17 08:40:32.679718300+00:00,1,3,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:40:32.679718,300,1368
2024-10-17 08:41:16.590208600+00:00,1,5,DTE Staff,3,11,300,1368,-63.0,-200.0,0,08:41:16.590208,300,1367
2024-10-17 08:41:21.595414900+00:00,1,5,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:41:21.595414,300,1368
2024-10-17 08:41:41.045572200+00:00,1,6,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:41:41.045572,300,1368
2024-10-17 08:41:46.015794800+00:00,1,6,DTE Staff,3,11,300,1368,-64.0,-200.0,0,08:41:46.015794,300,1369
2024-10-17 08:42:05.530078700+00:00,1,7,DTE Student,4,11,300,1368,-63.0,-200.0,0,08:42:05.530078,300,1367
2024-10-17 08:42:10.536603500+00:00,1,7,DTE Staff,3,11,300,1368,-64.0,-200.0,0,08:42:10.536603,300,1369
2024-10-17 08:42:30.001785+00:00,1,8,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:42:30.001785,300,1368
2024-10-17 08:42:34.959663900+00:00,1,8,DTE Staff,3,11,300,1368,-63.0,-200.0,0,08:42:34.959663,300,1367
2024-10-17 08:42:55.723206+00:00,1,9,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:42:55.723206,300,1368
2024-10-17 08:43:00.729278400+00:00,1,9,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:43:00.729278,300,1368
